code;name;sitecode;lat;lon;start;stop;teff;lm;f;lyr
HAVRB;Roberto Haver;91046;42.2300;12.8100;2007-04-22 23:00:00;2007-04-23 00:00:00;0.8400;5.700;1.000;7
HAVRB;Roberto Haver;91046;42.2300;12.8100;2007-04-23 00:10:00;2007-04-23 01:10:00;0.8400;6.000;1.000;9
HAVRB;Roberto Haver;91046;42.2300;12.8100;2007-04-23 01:10:00;2007-04-23 01:40:00;0.4100;6.000;1.000;5
KANJA;JAY KANSARA;60811;19.4333;73.2833;2007-04-22 19:30:00;2007-04-22 20:00:00;0.4920;5.500;1.000;1
KANJA;JAY KANSARA;60811;19.4333;73.2833;2007-04-22 20:00:00;2007-04-22 20:30:00;0.5000;5.500;1.000;0
KANJA;JAY KANSARA;60811;19.4333;73.2833;2007-04-22 20:30:00;2007-04-22 21:00:00;0.4920;5.500;1.000;1
KANJA;JAY KANSARA;60811;19.4333;73.2833;2007-04-22 21:00:00;2007-04-22 21:30:00;0.4830;5.500;1.000;2
KANJA;JAY KANSARA;60811;19.4333;73.2833;2007-04-22 21:30:00;2007-04-22 22:00:00;0.4830;5.500;1.000;2
KANJA;JAY KANSARA;60811;19.4333;73.2833;2007-04-22 22:00:00;2007-04-22 22:30:00;0.4920;5.500;1.000;1
KANJA;JAY KANSARA;60811;19.4333;73.2833;2007-04-22 22:30:00;2007-04-22 23:00:00;0.4830;5.000;1.000;2
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-22 21:10:00;2007-04-22 21:20:00;0.1700;5.000;1.110;0
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-22 21:21:00;2007-04-22 21:49:00;0.4700;4.800;1.110;0
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-22 21:52:00;2007-04-22 22:38:00;0.7700;5.200;1.000;1
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-22 22:39:00;2007-04-22 23:08:00;0.4800;5.100;1.000;1
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-23 00:23:00;2007-04-23 00:51:00;0.4700;5.300;1.430;1
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-23 01:10:00;2007-04-23 01:36:00;0.4300;5.300;1.000;3
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-23 01:36:00;2007-04-23 01:45:00;0.1500;5.300;1.330;1
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-23 01:57:00;2007-04-23 02:21:00;0.4000;5.300;1.110;3
KEERO;ROY KEERIS;28968;51.7044;5.4878;2007-04-23 02:21:00;2007-04-23 02:42:00;0.2300;5.300;1.250;0
KNOAN;ANDRE KNOFEL;96241;52.5500;14.0167;2007-04-20 22:21:00;2007-04-20 23:31:00;1.1300;6.210;1.000;2
KNOAN;ANDRE KNOFEL;96241;52.5500;14.0167;2007-04-21 00:33:00;2007-04-21 01:10:00;0.5300;6.020;1.000;1
KNOAN;ANDRE KNOFEL;96241;52.5500;14.0167;2007-04-21 01:43:00;2007-04-21 02:15:00;0.5200;6.360;1.000;1
